date,item,price
2000-01-03,"monitor",1481
2000-01-03,"tv",6049
2000-01-03,"laptop",623
2000-01-03,"printer",91
2000-01-03,"tablet",940
2000-01-03,"printer",70
2000-01-03,"tv",4431
2000-01-03,"printer",204
2000-01-03,"laptop",1924
2000-01-03,"tv",1002
2000-01-03,"printer",175
2000-01-03,"monitor",826
2000-01-03,"desktop",1451
2000-01-03,"smartwatch",410
2000-01-04,"monitor",1304
2000-01-04,"printer",231
2000-01-04,"tablet",866
2000-01-04,"cameras",829
2000-01-04,"desktop",5266
2000-01-04,"tv",4462
2000-01-04,"tablet",343
2000-01-04,"monitor",2372
2000-01-04,"desktop",1300
2000-01-04,"smartwatch",523
2000-01-04,"tv",2118
2000-01-04,"tv",6633
2000-01-04,"desktop",5154
2000-01-04,"phone",890
2000-01-04,"tv",5513
2000-01-04,"printer",268
2000-01-04,"laptop",2958
2000-01-04,"desktop",3117
2000-01-04,"tv",4569
2000-01-04,"tv",7088
2000-01-04,"desktop",1159
2000-01-04,"smartwatch",688
2000-01-04,"desktop",5652
2000-01-04,"smartwatch",85
2000-01-04,"tablet",1448
2000-01-04,"smartwatch",90
2000-01-04,"monitor",833
2000-01-04,"cameras",2020
2000-01-04,"desktop",4963
2000-01-04,"laptop",490
2000-01-04,"phone",542
2000-01-04,"phone",935
2000-01-04,"printer",106
2000-01-04,"desktop",3501
2000-01-04,"smartwatch",166
2000-01-04,"monitor",2085
2000-01-04,"smartwatch",537
2000-01-04,"phone",278
2000-01-05,"tv",5819
2000-01-05,"desktop",1406
2000-01-05,"smartwatch",671
2000-01-05,"smartwatch",44
2000-01-05,"desktop",5384
2000-01-05,"cameras",298
2000-01-05,"tablet",1031
2000-01-05,"desktop",5288
2000-01-05,"phone",480
2000-01-05,"monitor",797
2000-01-05,"tablet",210
2000-01-05,"printer",90
2000-01-05,"phone",348
2000-01-05,"monitor",503
2000-01-05,"cameras",2367
2000-01-05,"tv",656
2000-01-05,"smartwatch",262
2000-01-05,"monitor",874
2000-01-05,"printer",77
2000-01-05,"tablet",1341
2000-01-05,"phone",664
2000-01-05,"laptop",505
2000-01-05,"printer",308
2000-01-05,"monitor",1593
2000-01-05,"smartwatch",294
2000-01-05,"laptop",2964
2000-01-05,"laptop",173
2000-01-05,"printer",197
2000-01-05,"cameras",3363
2000-01-05,"phone",149
2000-01-05,"phone",516
2000-01-05,"tablet",1104
2000-01-05,"phone",345
2000-01-05,"phone",397
2000-01-05,"desktop",1205
2000-01-05,"cameras",1484
2000-01-05,"tablet",908
2000-01-05,"monitor",1616
2000-01-05,"tv",1905
2000-01-05,"desktop",831
2000-01-05,"tv",6220
2000-01-05,"tablet",1141
2000-01-05,"phone",117
2000-01-05,"tv",3355
2000-01-05,"tablet",1454
2000-01-05,"smartwatch",88
2000-01-05,"tv",4056
2000-01-05,"smartwatch",165
2000-01-05,"phone",937
2000-01-05,"smartwatch",428
2000-01-05,"smartwatch",694
2000-01-05,"cameras",2869
2000-01-05,"smartwatch",454
2000-01-05,"tablet",585
2000-01-05,"smartwatch",38
2000-01-05,"tv",1873
2000-01-05,"smartwatch",131
2000-01-05,"smartwatch",265
2000-01-05,"smartwatch",670
2000-01-05,"tv",3015
2000-01-05,"tablet",1263
2000-01-05,"monitor",1162
2000-01-05,"smartwatch",299
2000-01-05,"tv",5642
2000-01-05,"laptop",1602
2000-01-05,"desktop",1952
2000-01-05,"monitor",465
2000-01-05,"tablet",1205
2000-01-05,"cameras",279
2000-01-05,"cameras",255
2000-01-05,"tablet",1019
2000-01-05,"tablet",1311
2000-01-05,"printer",241
2000-01-05,"printer",225
2000-01-05,"tv",6959
2000-01-05,"tv",6183
2000-01-05,"printer",173
2000-01-05,"desktop",5611
2000-01-05,"laptop",1233
2000-01-05,"desktop",2060
2000-01-05,"smartwatch",142
2000-01-05,"tv",7141
2000-01-05,"cameras",298
2000-01-05,"tablet",693
2000-01-05,"tablet",985
2000-01-05,"desktop",1722
2000-01-05,"desktop",1416
2000-01-05,"laptop",1731
2000-01-05,"desktop",4842
2000-01-05,"laptop",2302
2000-01-05,"smartwatch",603
2000-01-05,"smartwatch",445
2000-01-05,"printer",94
2000-01-05,"printer",100
2000-01-05,"cameras",1020
2000-01-05,"tablet",514
2000-01-05,"cameras",490
2000-01-05,"tablet",181
2000-01-05,"tv",1703
2000-01-05,"phone",537
2000-01-05,"cameras",418
2000-01-05,"phone",511
2000-01-05,"phone",317
2000-01-05,"phone",383
2000-01-05,"tablet",964
2000-01-05,"desktop",3467
2000-01-05,"phone",817
2000-01-05,"phone",934
2000-01-05,"monitor",2902
2000-01-05,"monitor",1751
2000-01-05,"smartwatch",428
2000-01-05,"tablet",855
2000-01-05,"smartwatch",101
2000-01-05,"monitor",890
2000-01-05,"laptop",1599
2000-01-05,"printer",295
2000-01-05,"monitor",1241
2000-01-05,"printer",77
2000-01-05,"cameras",1152
2000-01-05,"monitor",2413
2000-01-05,"laptop",2580
2000-01-05,"tv",3246
2000-01-05,"phone",713
2000-01-05,"tv",4930
2000-01-05,"cameras",49
2000-01-05,"cameras",3714
2000-01-05,"phone",257
2000-01-05,"tv",6176
2000-01-05,"cameras",331
2000-01-05,"tv",6026
2000-01-05,"monitor",1682
2000-01-05,"smartwatch",716
2000-01-05,"phone",493
2000-01-05,"printer",167
2000-01-05,"smartwatch",181
2000-01-05,"printer",134
2000-01-05,"tablet",1345
2000-01-05,"desktop",4532
2000-01-05,"monitor",477
2000-01-05,"desktop",1850
2000-01-05,"desktop",1752
2000-01-05,"cameras",1869
2000-01-05,"smartwatch",332
2000-01-05,"monitor",1691
2000-01-05,"laptop",1950
2000-01-05,"tablet",1432
2000-01-05,"tablet",323
2000-01-05,"laptop",837
2000-01-05,"tv",6957
2000-01-05,"laptop",1765
2000-01-05,"smartwatch",685
2000-01-05,"smartwatch",275
2000-01-05,"cameras",785
2000-01-05,"cameras",505
2000-01-05,"desktop",4519
2000-01-05,"cameras",1363
2000-01-05,"printer",287
2000-01-05,"desktop",766
2000-01-05,"smartwatch",95
2000-01-05,"printer",47
2000-01-05,"printer",78
2000-01-05,"smartwatch",296
2000-01-05,"monitor",1132
2000-01-05,"laptop",1668
2000-01-05,"smartwatch",513
2000-01-05,"laptop",1632
2000-01-05,"tv",3563
2000-01-05,"tablet",144
2000-01-05,"monitor",2167
2000-01-05,"monitor",2153
2000-01-05,"laptop",592
2000-01-05,"laptop",2788
2000-01-05,"desktop",3921
2000-01-05,"monitor",8
2000-01-05,"smartwatch",627
2000-01-05,"monitor",986
2000-01-05,"phone",709
2000-01-05,"tv",5505
2000-01-05,"tablet",544
2000-01-05,"monitor",1364
2000-01-05,"laptop",1547
2000-01-05,"printer",168
2000-01-05,"phone",172
2000-01-05,"desktop",2784
2000-01-05,"monitor",665
2000-01-05,"desktop",3172
2000-01-05,"phone",831
2000-01-05,"tv",1172
2000-01-05,"cameras",1212
2000-01-05,"tv",6199
2000-01-05,"tablet",954
2000-01-05,"phone",901
2000-01-05,"smartwatch",305
2000-01-05,"monitor",1873
2000-01-05,"phone",373
2000-01-05,"monitor",1464
2000-01-05,"desktop",5011
2000-01-05,"laptop",1383
2000-01-05,"tablet",359
2000-01-05,"smartwatch",108
2000-01-05,"tv",953
2000-01-05,"cameras",2404
2000-01-05,"smartwatch",275
2000-01-06,"desktop",2693
2000-01-06,"tv",4088
2000-01-06,"tv",2127
2000-01-06,"laptop",1631
2000-01-06,"printer",276
2000-01-06,"tv",5471
2000-01-06,"laptop",2964
2000-01-06,"laptop",935
2000-01-06,"laptop",1088
2000-01-06,"smartwatch",211
2000-01-06,"cameras",3704
2000-01-06,"tv",771
2000-01-06,"tablet",1034
2000-01-06,"laptop",1265
2000-01-06,"phone",322
2000-01-06,"tv",5239
2000-01-06,"laptop",749
2000-01-06,"cameras",1540
2000-01-06,"tablet",1122
2000-01-06,"smartwatch",127
2000-01-06,"desktop",2788
2000-01-06,"tv",5530
2000-01-06,"printer",72
2000-01-06,"tablet",1413
2000-01-06,"cameras",3255
2000-01-06,"tablet",633
2000-01-06,"laptop",2940
2000-01-06,"phone",815
2000-01-06,"monitor",2559
2000-01-06,"laptop",2072
2000-01-06,"monitor",2884
2000-01-06,"tv",678
2000-01-06,"tablet",1156
2000-01-06,"tablet",1064
2000-01-06,"tv",1264
2000-01-06,"tv",5436
2000-01-06,"monitor",1138
2000-01-06,"tablet",562
2000-01-06,"monitor",221
2000-01-06,"smartwatch",115
2000-01-06,"desktop",3929
2000-01-06,"monitor",1935
2000-01-06,"tablet",915
2000-01-06,"desktop",2364
2000-01-06,"desktop",2585
2000-01-06,"tablet",674
2000-01-06,"tv",7089
2000-01-06,"tablet",318
2000-01-06,"desktop",4957
2000-01-06,"cameras",1420
2000-01-06,"printer",196
2000-01-06,"cameras",1286
2000-01-06,"laptop",1743
2000-01-06,"cameras",3172
2000-01-06,"smartwatch",238
2000-01-06,"desktop",2420
2000-01-06,"monitor",696
2000-01-06,"laptop",2911
2000-01-06,"desktop",840
2000-01-06,"desktop",1914
2000-01-06,"phone",992
2000-01-06,"tv",2357
2000-01-06,"desktop",3812
2000-01-06,"desktop",2431
2000-01-06,"phone",869
2000-01-06,"tv",3519
2000-01-06,"cameras",2073
2000-01-06,"laptop",1378
2000-01-06,"tv",2317
2000-01-06,"tablet",1374
2000-01-06,"printer",19
2000-01-06,"laptop",579
2000-01-06,"laptop",2939
2000-01-06,"phone",973
2000-01-06,"tv",3625
2000-01-06,"phone",542
2000-01-06,"printer",221
2000-01-06,"laptop",2565
2000-01-06,"desktop",5535
2000-01-06,"phone",258
2000-01-06,"printer",224
2000-01-06,"laptop",1437
2000-01-06,"cameras",3020
2000-01-06,"printer",164
2000-01-06,"smartwatch",253
2000-01-06,"monitor",409
2000-01-06,"cameras",2599
2000-01-06,"tablet",154
2000-01-06,"printer",133
2000-01-06,"smartwatch",281
2000-01-06,"tablet",295
2000-01-06,"printer",236
2000-01-06,"monitor",523
2000-01-06,"tablet",1002
2000-01-06,"cameras",1822
2000-01-06,"printer",289
2000-01-06,"cameras",823
2000-01-06,"desktop",2598
2000-01-06,"desktop",1800
2000-01-06,"phone",521
2000-01-06,"phone",169
2000-01-06,"tv",2055
2000-01-06,"printer",37
2000-01-06,"monitor",1327
2000-01-06,"laptop",896
2000-01-06,"tablet",1013
2000-01-06,"phone",479
2000-01-06,"smartwatch",411
2000-01-06,"printer",271
2000-01-06,"tablet",632
2000-01-06,"phone",938
2000-01-06,"printer",41
2000-01-06,"tv",2756
2000-01-06,"desktop",3526
2000-01-06,"laptop",2964
2000-01-06,"tv",6112
2000-01-06,"phone",210
2000-01-06,"smartwatch",341
2000-01-06,"laptop",3036
2000-01-06,"monitor",1294
2000-01-06,"tablet",281
2000-01-06,"monitor",1300
2000-01-06,"printer",225
2000-01-06,"laptop",560
2000-01-06,"laptop",1462
2000-01-06,"printer",170
2000-01-06,"monitor",1655
2000-01-06,"smartwatch",211
2000-01-06,"smartwatch",23
2000-01-06,"cameras",494
2000-01-06,"smartwatch",380
2000-01-06,"tv",2378
2000-01-06,"laptop",2192
2000-01-06,"phone",907
2000-01-06,"tablet",443
2000-01-06,"tv",2878
2000-01-06,"phone",273
2000-01-06,"printer",296
2000-01-06,"monitor",1058
2000-01-06,"phone",963
2000-01-06,"laptop",274
2000-01-06,"monitor",124
2000-01-06,"monitor",1143
2000-01-06,"laptop",1698
2000-01-06,"phone",543
2000-01-06,"smartwatch",137
2000-01-06,"tablet",688
2000-01-06,"laptop",3088
2000-01-06,"tv",3681
2000-01-06,"cameras",2700
2000-01-06,"cameras",379
2000-01-06,"smartwatch",231
2000-01-06,"desktop",845
2000-01-06,"monitor",669
2000-01-06,"cameras",1867
2000-01-06,"laptop",1702
2000-01-06,"printer",38
2000-01-06,"laptop",3006
2000-01-06,"tablet",1451
2000-01-06,"phone",313
2000-01-06,"printer",174
2000-01-06,"monitor",1124
2000-01-06,"smartwatch",476
2000-01-06,"monitor",1509
2000-01-06,"phone",846
2000-01-06,"laptop",2504
2000-01-06,"printer",217
2000-01-06,"smartwatch",54
2000-01-06,"monitor",2467
2000-01-06,"monitor",1122
2000-01-06,"cameras",1112
2000-01-06,"smartwatch",125
2000-01-06,"monitor",2850
2000-01-06,"phone",930
2000-01-06,"tv",2358
2000-01-06,"cameras",2615
2000-01-06,"phone",968
2000-01-06,"laptop",2514
2000-01-06,"phone",349
2000-01-06,"phone",910
2000-01-06,"tv",1823
2000-01-06,"tablet",475
2000-01-06,"cameras",1823
2000-01-06,"monitor",1183
2000-01-06,"cameras",1964
2000-01-06,"cameras",2875
2000-01-06,"printer",133
2000-01-07,"cameras",3667
2000-01-07,"tv",4294
2000-01-07,"printer",267
2000-01-07,"tv",2680
2000-01-07,"tablet",812
2000-01-07,"tv",4104
2000-01-07,"smartwatch",75
2000-01-07,"laptop",2311
2000-01-07,"monitor",1380
2000-01-07,"phone",778
2000-01-07,"laptop",711
2000-01-07,"smartwatch",23
2000-01-07,"printer",298
2000-01-07,"phone",963
2000-01-07,"smartwatch",120
2000-01-07,"tv",5830
2000-01-07,"tv",1128
2000-01-07,"tv",6680
2000-01-07,"phone",387
2000-01-07,"monitor",1565
2000-01-07,"phone",653
2000-01-07,"cameras",3462
2000-01-07,"smartwatch",423
2000-01-07,"tv",3317
2000-01-07,"monitor",500
2000-01-07,"printer",185
2000-01-07,"tablet",958
2000-01-07,"laptop",2833
2000-01-07,"laptop",227
2000-01-07,"smartwatch",92
2000-01-07,"cameras",2728
2000-01-07,"tablet",1027
2000-01-07,"monitor",2968
2000-01-07,"cameras",461
2000-01-07,"monitor",1689
2000-01-07,"printer",182
2000-01-07,"laptop",1343
2000-01-07,"desktop",4082
2000-01-07,"desktop",2787
2000-01-07,"desktop",3751
2000-01-07,"tablet",1002
2000-01-07,"monitor",2822
2000-01-07,"desktop",901
2000-01-07,"tablet",353
2000-01-07,"tv",6908
2000-01-07,"desktop",4824
2000-01-07,"tv",1530
2000-01-07,"desktop",2452
2000-01-07,"smartwatch",50
2000-01-07,"phone",385
2000-01-07,"desktop",760
2000-01-07,"desktop",1908
2000-01-07,"smartwatch",632
2000-01-07,"monitor",406
2000-01-07,"laptop",1850
2000-01-07,"printer",140
2000-01-07,"tablet",321
2000-01-07,"tv",1897
2000-01-07,"laptop",2850
2000-01-07,"laptop",1326
2000-01-07,"tv",4093
2000-01-07,"smartwatch",230
2000-01-07,"desktop",2993
2000-01-07,"smartwatch",353
2000-01-07,"laptop",1533
2000-01-07,"desktop",1723
2000-01-07,"printer",252
2000-01-07,"tv",654
2000-01-07,"tv",3147
2000-01-07,"smartwatch",153
2000-01-07,"smartwatch",578
2000-01-07,"tablet",1120
2000-01-07,"tv",6779
2000-01-07,"cameras",1157
2000-01-07,"tablet",1473
2000-01-07,"cameras",3147
2000-01-07,"tv",5065
2000-01-07,"tablet",1009
2000-01-07,"monitor",2158
2000-01-07,"tv",4412
2000-01-07,"smartwatch",319
2000-01-07,"tablet",454
2000-01-07,"cameras",378
2000-01-07,"monitor",2275
2000-01-07,"tablet",1060
2000-01-07,"tv",5661
2000-01-07,"laptop",1849
2000-01-07,"smartwatch",138
2000-01-07,"cameras",3412
2000-01-07,"monitor",2674
2000-01-07,"tv",3563
2000-01-07,"phone",736
2000-01-07,"cameras",1723
2000-01-07,"smartwatch",29
2000-01-07,"smartwatch",371
2000-01-07,"phone",637
2000-01-07,"tv",5103
2000-01-07,"desktop",4547
2000-01-07,"cameras",3639
2000-01-07,"printer",15
2000-01-07,"cameras",3533
2000-01-07,"cameras",2704
2000-01-07,"smartwatch",438
2000-01-07,"desktop",1181
2000-01-07,"cameras",3728
2000-01-07,"smartwatch",340
2000-01-07,"tv",5855
2000-01-07,"monitor",1722
2000-01-07,"phone",355
2000-01-07,"laptop",2340
2000-01-07,"tv",5743
2000-01-07,"smartwatch",228
2000-01-07,"desktop",1658
2000-01-07,"monitor",521
2000-01-07,"monitor",1416
2000-01-07,"phone",436
2000-01-07,"cameras",2382
2000-01-07,"phone",332
2000-01-07,"laptop",2749
2000-01-07,"smartwatch",531
2000-01-07,"laptop",1779
2000-01-07,"tablet",300
2000-01-07,"monitor",847
2000-01-07,"printer",223
2000-01-07,"monitor",101
2000-01-07,"phone",851
2000-01-07,"laptop",2118
2000-01-07,"smartwatch",718
2000-01-07,"cameras",2831
2000-01-07,"printer",25
2000-01-07,"tv",6312
2000-01-07,"desktop",4308
2000-01-07,"monitor",1580
2000-01-07,"laptop",390
2000-01-07,"tablet",1377
2000-01-07,"phone",646
2000-01-07,"phone",901
2000-01-07,"monitor",2508
2000-01-07,"phone",562
2000-01-07,"cameras",1754
2000-01-07,"phone",213
2000-01-07,"monitor",1250
2000-01-07,"smartwatch",236
2000-01-07,"laptop",1306
2000-01-07,"monitor",1089
2000-01-07,"tablet",723
2000-01-07,"desktop",2505
2000-01-07,"smartwatch",340
2000-01-07,"cameras",2637
2000-01-07,"monitor",130
2000-01-07,"printer",53
2000-01-07,"cameras",825
2000-01-07,"tv",2139
2000-01-07,"cameras",2167
2000-01-07,"printer",231
2000-01-07,"desktop",2555
2000-01-07,"printer",188
2000-01-07,"smartwatch",573
2000-01-07,"smartwatch",334
2000-01-07,"monitor",2891
2000-01-07,"smartwatch",632
2000-01-07,"phone",759
2000-01-07,"cameras",2794
2000-01-07,"laptop",2595
2000-01-07,"smartwatch",70
2000-01-07,"tablet",247
2000-01-08,"tablet",1032
2000-01-08,"monitor",118
2000-01-08,"cameras",1053
2000-01-08,"phone",792
2000-01-08,"printer",76
2000-01-08,"tablet",845
2000-01-08,"printer",299
2000-01-08,"desktop",4196
2000-01-08,"tv",7097
2000-01-08,"smartwatch",35
2000-01-08,"laptop",1423
2000-01-08,"printer",214
2000-01-08,"tv",2489
2000-01-08,"monitor",1316
2000-01-08,"cameras",2440
2000-01-08,"desktop",1450
2000-01-09,"cameras",2353
2000-01-09,"monitor",1671
2000-01-09,"smartwatch",121
2000-01-09,"monitor",505
2000-01-09,"laptop",405
2000-01-09,"printer",79
2000-01-09,"desktop",1313
2000-01-09,"smartwatch",353
2000-01-09,"printer",264
2000-01-09,"cameras",624
2000-01-09,"cameras",1875
2000-01-09,"cameras",287
2000-01-09,"tablet",1110
2000-01-09,"cameras",410
2000-01-09,"cameras",3077
2000-01-09,"cameras",399
2000-01-09,"cameras",453
2000-01-09,"phone",236
2000-01-09,"laptop",804
2000-01-09,"cameras",740
2000-01-09,"smartwatch",183
2000-01-09,"laptop",404
2000-01-09,"desktop",2115
2000-01-09,"printer",171
2000-01-09,"laptop",691
2000-01-09,"tv",3962
2000-01-09,"cameras",3606
2000-01-09,"monitor",2828
2000-01-09,"phone",885
2000-01-09,"laptop",292
2000-01-09,"cameras",2495
2000-01-09,"laptop",2182
2000-01-09,"tablet",435
2000-01-09,"smartwatch",651
2000-01-09,"cameras",505
2000-01-09,"monitor",1556
2000-01-09,"phone",500
2000-01-09,"smartwatch",611
2000-01-09,"tablet",661
2000-01-09,"tv",2939
2000-01-09,"monitor",1739
2000-01-09,"phone",603
2000-01-09,"tv",3362
2000-01-09,"tablet",633
2000-01-09,"tv",5732
2000-01-09,"laptop",672
2000-01-09,"laptop",785
2000-01-09,"cameras",2767
2000-01-09,"cameras",1684
2000-01-09,"monitor",2901
2000-01-09,"desktop",1960
2000-01-09,"phone",442
